,Date,Visitor,Visitor_Goals,Home,Home_Goals
1,1/13/21,St. Louis Blues,4,Colorado Avalanche,1
2,1/13/21,Vancouver Canucks,5,Edmonton Oilers,3
3,1/13/21,Pittsburgh Penguins,3,Philadelphia Flyers,6
4,1/13/21,Chicago Blackhawks,1,Tampa Bay Lightning,5
5,1/13/21,Montreal Canadiens,4,Toronto Maple Leafs,5
6,1/14/21,San Jose Sharks,4,Arizona Coyotes,3
7,1/14/21,Washington Capitals,6,Buffalo Sabres,4
8,1/14/21,Carolina Hurricanes,3,Detroit Red Wings,0
9,1/14/21,Vancouver Canucks,2,Edmonton Oilers,5
10,1/14/21,Minnesota Wild,4,Los Angeles Kings,3
11,1/14/21,Boston Bruins,3,New Jersey Devils,2
12,1/14/21,Columbus Blue Jackets,1,Nashville Predators,3
13,1/14/21,New York Islanders,4,New York Rangers,0
14,1/14/21,Anaheim Ducks,2,Vegas Golden Knights,5
15,1/14/21,Calgary Flames,3,Winnipeg Jets,4
16,1/15/21,Washington Capitals,2,Buffalo Sabres,1
17,1/15/21,St. Louis Blues,0,Colorado Avalanche,8
18,1/15/21,Toronto Maple Leafs,3,Ottawa Senators,5
19,1/15/21,Pittsburgh Penguins,2,Philadelphia Flyers,5
20,1/15/21,Chicago Blackhawks,2,Tampa Bay Lightning,5
21,1/16/21,San Jose Sharks,3,Arizona Coyotes,5
22,1/16/21,Vancouver Canucks,0,Calgary Flames,3
23,1/16/21,Carolina Hurricanes,2,Detroit Red Wings,4
24,1/16/21,Montreal Canadiens,5,Edmonton Oilers,1
25,1/16/21,Minnesota Wild,4,Los Angeles Kings,3
26,1/16/21,Boston Bruins,1,New Jersey Devils,2
27,1/16/21,Columbus Blue Jackets,2,Nashville Predators,5
28,1/16/21,New York Islanders,0,New York Rangers,5
29,1/16/21,Toronto Maple Leafs,3,Ottawa Senators,2
30,1/16/21,Anaheim Ducks,1,Vegas Golden Knights,2
31,1/17/21,Chicago Blackhawks,2,Florida Panthers,5
32,1/17/21,Washington Capitals,3,Pittsburgh Penguins,4
33,1/18/21,Minnesota Wild,0,Anaheim Ducks,1
34,1/18/21,Vancouver Canucks,2,Calgary Flames,5
35,1/18/21,Columbus Blue Jackets,3,Detroit Red Wings,2
36,1/18/21,Montreal Canadiens,3,Edmonton Oilers,1
37,1/18/21,Carolina Hurricanes,4,Nashville Predators,2
38,1/18/21,Boston Bruins,0,New York Islanders,1
39,1/18/21,Buffalo Sabres,6,Philadelphia Flyers,1
40,1/18/21,San Jose Sharks,4,St. Louis Blues,5
41,1/18/21,Winnipeg Jets,1,Toronto Maple Leafs,3
42,1/18/21,Arizona Coyotes,2,Vegas Golden Knights,4
43,1/19/21,Columbus Blue Jackets,2,Detroit Red Wings,3
44,1/19/21,Chicago Blackhawks,4,Florida Panthers,5
45,1/19/21,Colorado Avalanche,3,Los Angeles Kings,2
46,1/19/21,New Jersey Devils,4,New York Rangers,3
47,1/19/21,Winnipeg Jets,4,Ottawa Senators,3
48,1/19/21,Buffalo Sabres,0,Philadelphia Flyers,3
49,1/19/21,Washington Capitals,4,Pittsburgh Penguins,5
50,1/20/21,Minnesota Wild,3,Anaheim Ducks,2
51,1/20/21,San Jose Sharks,2,St. Louis Blues,1
52,1/20/21,Edmonton Oilers,3,Toronto Maple Leafs,1
53,1/20/21,Montreal Canadiens,5,Vancouver Canucks,6
54,1/20/21,Arizona Coyotes,2,Vegas Golden Knights,5
55,1/21/21,Philadelphia Flyers,4,Boston Bruins,5
56,1/21/21,Tampa Bay Lightning,3,Columbus Blue Jackets,2
57,1/21/21,Colorado Avalanche,2,Los Angeles Kings,4
58,1/21/21,New Jersey Devils,1,New York Islanders,4
59,1/21/21,Winnipeg Jets,4,Ottawa Senators,1
60,1/21/21,Montreal Canadiens,7,Vancouver Canucks,3
61,1/22/21,Colorado Avalanche,3,Anaheim Ducks,2
62,1/22/21,Vegas Golden Knights,2,Arizona Coyotes,5
63,1/22/21,Detroit Red Wings,1,Chicago Blackhawks,4
64,1/22/21,Nashville Predators,0,Dallas Stars,7
65,1/22/21,San Jose Sharks,1,Minnesota Wild,4
66,1/22/21,New York Rangers,3,Pittsburgh Penguins,4
67,1/22/21,Edmonton Oilers,2,Toronto Maple Leafs,4
68,1/22/21,Buffalo Sabres,3,Washington Capitals,4
69,1/23/21,Philadelphia Flyers,1,Boston Bruins,6
70,1/23/21,Tampa Bay Lightning,2,Columbus Blue Jackets,5
71,1/23/21,Los Angeles Kings,2,St. Louis Blues,4
72,1/23/21,Montreal Canadiens,5,Vancouver Canucks,2
73,1/23/21,Ottawa Senators,3,Winnipeg Jets,6
74,1/24/21,Colorado Avalanche,1,Anaheim Ducks,3
75,1/24/21,Vegas Golden Knights,1,Arizona Coyotes,0
76,1/24/21,Toronto Maple Leafs,3,Calgary Flames,2
77,1/24/21,Detroit Red Wings,2,Chicago Blackhawks,6
78,1/24/21,Nashville Predators,2,Dallas Stars,3
79,1/24/21,San Jose Sharks,5,Minnesota Wild,3
80,1/24/21,New York Islanders,0,New Jersey Devils,2
81,1/24/21,New York Rangers,2,Pittsburgh Penguins,3
82,1/24/21,Los Angeles Kings,6,St. Louis Blues,3
83,1/24/21,Edmonton Oilers,4,Winnipeg Jets,3
84,1/24/21,Buffalo Sabres,4,Washington Capitals,3
85,1/25/21,Ottawa Senators,1,Vancouver Canucks,7
86,1/26/21,Anaheim Ducks,1,Arizona Coyotes,0
87,1/26/21,Pittsburgh Penguins,2,Boston Bruins,3
88,1/26/21,New York Rangers,2,Buffalo Sabres,3
89,1/26/21,Florida Panthers,4,Columbus Blue Jackets,3
90,1/26/21,Toronto Maple Leafs,4,Calgary Flames,3
91,1/26/21,San Jose Sharks,3,Colorado Avalanche,7
92,1/26/21,Detroit Red Wings,1,Dallas Stars,2
93,1/26/21,Los Angeles Kings,2,Minnesota Wild,1
94,1/26/21,Philadelphia Flyers,5,New Jersey Devils,3
95,1/26/21,Chicago Blackhawks,2,Nashville Predators,3
96,1/26/21,St. Louis Blues,5,Vegas Golden Knights,4
97,1/26/21,Edmonton Oilers,4,Winnipeg Jets,6
98,1/26/21,New York Islanders,2,Washington Capitals,3
99,1/27/21,Chicago Blackhawks,1,Nashville Predators,2
100,1/27/21,Ottawa Senators,1,Vancouver Canucks,5
101,1/28/21,Anaheim Ducks,2,Arizona Coyotes,3
102,1/28/21,Pittsburgh Penguins,1,Boston Bruins,4
103,1/28/21,New York Rangers,3,Buffalo Sabres,2
104,1/28/21,Tampa Bay Lightning,0,Carolina Hurricanes,1
105,1/28/21,Florida Panthers,2,Columbus Blue Jackets,3
106,1/28/21,San Jose Sharks,0,Colorado Avalanche,3
107,1/28/21,Detroit Red Wings,3,Dallas Stars,7
108,1/28/21,Toronto Maple Leafs,4,Edmonton Oilers,3
109,1/28/21,Los Angeles Kings,3,Minnesota Wild,5
110,1/28/21,Calgary Flames,2,Montreal Canadiens,4
111,1/28/21,Philadelphia Flyers,3,New Jersey Devils,1
112,1/28/21,Ottawa Senators,1,Vancouver Canucks,4
113,1/28/21,New York Islanders,3,Washington Capitals,6
114,1/29/21,Columbus Blue Jackets,2,Chicago Blackhawks,1
115,1/30/21,St. Louis Blues,6,Anaheim Ducks,1
116,1/30/21,New Jersey Devils,3,Buffalo Sabres,4
117,1/30/21,Dallas Stars,1,Carolina Hurricanes,4
118,1/30/21,Florida Panthers,3,Detroit Red Wings,2
119,1/30/21,Toronto Maple Leafs,3,Edmonton Oilers,4
120,1/30/21,Colorado Avalanche,5,Minnesota Wild,1
121,1/30/21,Calgary Flames,2,Montreal Canadiens,0
122,1/30/21,Pittsburgh Penguins,5,New York Rangers,4
123,1/30/21,New York Islanders,2,Philadelphia Flyers,3
124,1/30/21,Nashville Predators,3,Tampa Bay Lightning,4
125,1/30/21,Vancouver Canucks,4,Winnipeg Jets,1
126,1/30/21,Boston Bruins,3,Washington Capitals,4
127,1/31/21,St. Louis Blues,4,Anaheim Ducks,1
128,1/31/21,New Jersey Devils,5,Buffalo Sabres,3
129,1/31/21,Dallas Stars,3,Carolina Hurricanes,4
130,1/31/21,Columbus Blue Jackets,1,Chicago Blackhawks,3
131,1/31/21,Florida Panthers,3,Detroit Red Wings,2
132,1/31/21,Ottawa Senators,5,Edmonton Oilers,8
133,1/31/21,Colorado Avalanche,3,Minnesota Wild,4
134,1/31/21,New York Islanders,3,Philadelphia Flyers,4
135,2/1/21,Vancouver Canucks,2,Montreal Canadiens,6
136,2/1/21,Pittsburgh Penguins,1,New York Rangers,3
137,2/1/21,Nashville Predators,2,Tampa Bay Lightning,5
138,2/1/21,Calgary Flames,4,Winnipeg Jets,3
139,2/1/21,Boston Bruins,5,Washington Capitals,3
140,2/2/21,Dallas Stars,6,Columbus Blue Jackets,3
141,2/2/21,Carolina Hurricanes,4,Chicago Blackhawks,3
142,2/2/21,Minnesota Wild,1,Colorado Avalanche,2
143,2/2/21,Ottawa Senators,2,Edmonton Oilers,4
144,2/2/21,Anaheim Ducks,3,Los Angeles Kings,1
145,2/2/21,Vancouver Canucks,3,Montreal Canadiens,5
146,2/2/21,Arizona Coyotes,3,St. Louis Blues,4
147,2/2/21,Calgary Flames,2,Winnipeg Jets,3
148,2/3/21,Boston Bruins,4,Philadelphia Flyers,3
149,2/3/21,Detroit Red Wings,1,Tampa Bay Lightning,5
150,2/4/21,Dallas Stars,3,Columbus Blue Jackets,4
151,2/4/21,Carolina Hurricanes,4,Chicago Blackhawks,6
152,2/4/21,Nashville Predators,6,Florida Panthers,5
153,2/4/21,Ottawa Senators,3,Montreal Canadiens,2
154,2/4/21,Washington Capitals,2,New York Rangers,4
155,2/4/21,Arizona Coyotes,4,St. Louis Blues,3
156,2/4/21,Vancouver Canucks,3,Toronto Maple Leafs,7
157,2/4/21,Calgary Flames,1,Winnipeg Jets,4
158,2/5/21,San Jose Sharks,5,Anaheim Ducks,4
159,2/5/21,Nashville Predators,1,Florida Panthers,2
160,2/5/21,Boston Bruins,2,Philadelphia Flyers,1
161,2/5/21,Detroit Red Wings,1,Tampa Bay Lightning,3
162,2/5/21,Los Angeles Kings,2,Vegas Golden Knights,5
163,2/6/21,San Jose Sharks,1,Anaheim Ducks,2
164,2/6/21,Edmonton Oilers,4,Calgary Flames,6
165,2/6/21,Pittsburgh Penguins,3,New York Islanders,4
166,2/6/21,Montreal Canadiens,2,Ottawa Senators,1
167,2/6/21,Arizona Coyotes,3,St. Louis Blues,1
168,2/6/21,Vancouver Canucks,1,Toronto Maple Leafs,5
169,2/7/21,Carolina Hurricanes,6,Columbus Blue Jackets,5
170,2/7/21,Chicago Blackhawks,2,Dallas Stars,1
171,2/7/21,Detroit Red Wings,4,Florida Panthers,1
172,2/7/21,Los Angeles Kings,3,Vegas Golden Knights,4
173,2/7/21,Philadelphia Flyers,7,Washington Capitals,4
174,2/8/21,Carolina Hurricanes,2,Columbus Blue Jackets,3
175,2/8/21,Tampa Bay Lightning,4,Nashville Predators,1
176,2/8/21,New York Islanders,2,New York Rangers,0
177,2/8/21,Edmonton Oilers,3,Ottawa Senators,1
178,2/8/21,Arizona Coyotes,4,St. Louis Blues,3
179,2/8/21,Vancouver Canucks,1,Toronto Maple Leafs,3
180,2/9/21,Winnipeg Jets,2,Calgary Flames,3
181,2/9/21,Chicago Blackhawks,2,Dallas Stars,1
182,2/9/21,Detroit Red Wings,1,Florida Panthers,2
183,2/9/21,San Jose Sharks,4,Los Angeles Kings,3
184,2/9/21,Tampa Bay Lightning,6,Nashville Predators,1
185,2/9/21,Edmonton Oilers,3,Ottawa Senators,2
186,2/9/21,Anaheim Ducks,4,Vegas Golden Knights,5
187,2/10/21,Toronto Maple Leafs,4,Montreal Canadiens,2
188,2/10/21,Boston Bruins,3,New York Rangers,2
189,2/11/21,Columbus Blue Jackets,6,Chicago Blackhawks,5
190,2/11/21,Carolina Hurricanes,5,Dallas Stars,3
191,2/11/21,Tampa Bay Lightning,2,Florida Panthers,5
192,2/11/21,San Jose Sharks,2,Los Angeles Kings,6
193,2/11/21,Edmonton Oilers,3,Montreal Canadiens,0
194,2/11/21,Detroit Red Wings,2,Nashville Predators,3
195,2/11/21,Pittsburgh Penguins,4,New York Islanders,3
196,2/11/21,Calgary Flames,3,Vancouver Canucks,1
197,2/11/21,Anaheim Ducks,1,Vegas Golden Knights,0
198,2/11/21,Ottawa Senators,1,Winnipeg Jets,5
199,2/12/21,St. Louis Blues,4,Arizona Coyotes,1
200,2/12/21,Boston Bruins,1,New York Rangers,0
201,2/13/21,St. Louis Blues,5,Arizona Coyotes,4
202,2/13/21,Columbus Blue Jackets,2,Chicago Blackhawks,3
203,2/13/21,Carolina Hurricanes,4,Dallas Stars,3
204,2/13/21,Tampa Bay Lightning,6,Florida Panthers,1
205,2/13/21,Detroit Red Wings,4,Nashville Predators,2
206,2/13/21,Boston Bruins,2,New York Islanders,4
207,2/13/21,Vegas Golden Knights,3,San Jose Sharks,1
208,2/13/21,Montreal Canadiens,2,Toronto Maple Leafs,1
209,2/13/21,Calgary Flames,1,Vancouver Canucks,3
210,2/13/21,Ottawa Senators,2,Winnipeg Jets,1
211,2/14/21,Washington Capitals,3,Pittsburgh Penguins,6
212,2/14/21,Colorado Avalanche,0,Vegas Golden Knights,1
213,2/15/21,St. Louis Blues,0,Arizona Coyotes,1
214,2/15/21,New York Islanders,3,Buffalo Sabres,1
215,2/15/21,Columbus Blue Jackets,3,Carolina Hurricanes,7
216,2/15/21,Chicago Blackhawks,3,Detroit Red Wings,2
217,2/15/21,Winnipeg Jets,6,Edmonton Oilers,5
218,2/15/21,Anaheim Ducks,2,San Jose Sharks,3
219,2/15/21,Florida Panthers,6,Tampa Bay Lightning,4
220,2/15/21,Ottawa Senators,6,Toronto Maple Leafs,5
221,2/15/21,Calgary Flames,4,Vancouver Canucks,3
222,2/16/21,New York Islanders,3,Buffalo Sabres,0
223,2/16/21,Minnesota Wild,0,Los Angeles Kings,4
224,2/16/21,New Jersey Devils,5,New York Rangers,2
225,2/16/21,Washington Capitals,3,Pittsburgh Penguins,1
226,2/16/21,Colorado Avalanche,3,Vegas Golden Knights,2
227,2/17/21,Florida Panthers,4,Carolina Hurricanes,3
228,2/17/21,Vancouver Canucks,5,Calgary Flames,1
229,2/17/21,Chicago Blackhawks,2,Detroit Red Wings,0
230,2/17/21,Winnipeg Jets,2,Edmonton Oilers,3
231,2/17/21,Ottawa Senators,1,Toronto Maple Leafs,2
232,2/18/21,Minnesota Wild,3,Anaheim Ducks,1
233,2/18/21,Los Angeles Kings,3,Arizona Coyotes,2
234,2/18/21,New Jersey Devils,3,Boston Bruins,2
235,2/18/21,Nashville Predators,0,Columbus Blue Jackets,3
236,2/18/21,New York Rangers,3,Philadelphia Flyers,2
237,2/18/21,New York Islanders,1,Pittsburgh Penguins,4
238,2/18/21,San Jose Sharks,2,St. Louis Blues,3
239,2/18/21,Ottawa Senators,3,Toronto Maple Leafs,7
240,2/18/21,Buffalo Sabres,1,Washington Capitals,3
241,2/19/21,Chicago Blackhawks,3,Carolina Hurricanes,5
242,2/19/21,Edmonton Oilers,2,Calgary Flames,1
243,2/19/21,Florida Panthers,7,Detroit Red Wings,2
244,2/19/21,Winnipeg Jets,2,Vancouver Canucks,0
245,2/20/21,Minnesota Wild,5,Anaheim Ducks,1
246,2/20/21,Los Angeles Kings,4,Arizona Coyotes,2
247,2/20/21,Tampa Bay Lightning,0,Carolina Hurricanes,4
248,2/20/21,Nashville Predators,4,Columbus Blue Jackets,2
249,2/20/21,Vegas Golden Knights,2,Colorado Avalanche,3
250,2/20/21,Florida Panthers,1,Detroit Red Wings,2
251,2/20/21,Calgary Flames,1,Edmonton Oilers,7
252,2/20/21,Toronto Maple Leafs,5,Montreal Canadiens,3
253,2/20/21,Buffalo Sabres,3,New Jersey Devils,2
254,2/20/21,New York Islanders,2,Pittsburgh Penguins,3
255,2/20/21,San Jose Sharks,5,St. Louis Blues,4
256,2/20/21,New York Rangers,4,Washington Capitals,1
257,2/21/21,Philadelphia Flyers,3,Boston Bruins,7
258,2/21/21,Montreal Canadiens,2,Ottawa Senators,3
259,2/21/21,Winnipeg Jets,4,Vancouver Canucks,3
260,2/21/21,New Jersey Devils,3,Washington Capitals,4
261,2/22/21,Anaheim Ducks,3,Arizona Coyotes,4
262,2/22/21,Tampa Bay Lightning,4,Carolina Hurricanes,2
263,2/22/21,Vegas Golden Knights,3,Colorado Avalanche,0
264,2/22/21,Dallas Stars,1,Florida Panthers,3
265,2/22/21,Buffalo Sabres,2,New York Islanders,3
266,2/22/21,Minnesota Wild,6,San Jose Sharks,2
267,2/22/21,Los Angeles Kings,3,St. Louis Blues,0
268,2/22/21,Calgary Flames,3,Toronto Maple Leafs,0
269,2/23/21,Chicago Blackhawks,6,Columbus Blue Jackets,5
270,2/23/21,Nashville Predators,2,Detroit Red Wings,0
271,2/23/21,Buffalo Sabres,4,New Jersey Devils,
272,2/23/21,Montreal Canadiens,4,Ottawa Senators,5
273,2/23/21,Edmonton Oilers,4,Vancouver Canucks,3
274,2/23/21,Pittsburgh Penguins,3,Washington Capitals,2
